FWEIGHT,FASTFIN,FASTOTH,FDBTTOT,FNETWTH
1.038125586987866,9914159562.365303,5433237636.109826,848770286.3045232,14498626912.1706
1.038125586987866,9781670793.37973,5360630073.009184,837427667.7319016,14304873198.65701
1.038125586987866,9781670793.37973,5360630073.009184,837427667.7319016,14304873198.65701
1.038125586987866,9781670793.37973,5360630073.009184,837427667.7319016,14304873198.65701
1.038125586987866,4304635089.862091,2359060819.30941,368528097.079271,6295167812.09223
1.038125586987866,3644691034.273478,1997392958.509361,312029015.9939472,5330054976.788892
1.038125586987866,3464706291.840219,1898756269.200257,296620175.6979499,5066842385.342526
1.038125586987866,3254724092.334751,1783680131.672968,278643195.3526196,4759761028.6551
1.038125586987866,3037242528.561231,1664494132.091135,260024179.994956,4441712480.65741
1.038125586987866,2662274315.15861,1459001029.363834,227922429.3782948,3893352915.144149
1.038125586987866,2482289572.725352,1360364340.054729,212513589.0822974,3630140323.697784
1.038125586987866,2444792751.38509,1339815029.781999,209303414.0206313,3575304367.146458
1.038125586987866,2219811823.343517,1216519168.145619,190042363.6506345,3246288627.838502
1.038125586987866,2197313730.53936,1204189581.981981,188116258.6136349,3213387053.907706
1.038125586987866,2189814366.271307,1200079719.927435,187474223.6013016,3202419862.597441
1.038125586987866,2137318816.394941,1171310685.545613,182979978.5149691,3125649523.425584
1.038125586987866,2032327716.642207,1113772616.781969,173991488.3423039,2972108845.081872
1.038125586987866,2024828352.374154,1109662754.727423,173349453.3299707,2961141653.771606
1.038125586987866,1989206372.100905,1090140909.968329,170299787.0213879,2909047495.047847
1.038125586987866,1989206372.100905,1090140909.968329,170299787.0213879,2909047495.047847
1.038125586987866,1989206372.100905,1090140909.968329,170299787.0213879,2909047495.047847
1.038125586987866,1989206372.100905,1090140909.968329,170299787.0213879,2909047495.047847
1.038125586987866,1784848695.796477,978147168.9819505,152804332.9353075,2610191531.84312
1.038125586987866,1634861410.435428,895949927.8910302,139963632.688643,2390847705.637815
1.038125586987866,1604863953.363218,879510479.6728462,137395492.6393101,2346978940.396754
1.038125586987866,1597364589.095166,875400617.6183002,136753457.6269769,2336011749.08649
1.038125586987866,1582365860.559061,867180893.5092083,135469387.6023104,2314077366.465959
1.038125586987866,1574866496.291009,863071031.4546622,134827352.5899772,2303110175.155694
1.038125586987866,1552368403.486851,850741445.2910242,132901247.5529775,2270208601.224898
1.038125586987866,1529870310.682694,838411859.1273862,130975142.5159778,2237307027.294103
1.038125586987866,1507372217.878537,826082272.9637481,129049037.4789782,2204405453.363307
1.038125586987866,1492373489.342432,817862548.8546561,127764967.4543117,2182471070.742777
1.038125586987866,1477374760.806327,809642824.7455641,126480897.4296453,2160536688.122246
1.038125586987866,1454876668.00217,797313238.581926,124554792.3926456,2127635114.19145
1.038125586987866,1369383915.346372,750460811.1601015,117235593.2520469,2002609133.254427
1.038125586987866,1369383915.346372,750460811.1601015,117235593.2520469,2002609133.254427
1.038125586987866,1369383915.346372,750460811.1601015,117235593.2520469,2002609133.254427
1.038125586987866,1369383915.346372,750460811.1601015,117235593.2520469,2002609133.254427
1.038125586987866,1369383915.346372,750460811.1601015,117235593.2520469,2002609133.254427
1.038125586987866,1327387475.445279,727445583.6546439,113640197.1829808,1941192861.916942
1.038125586987866,1188649236.486309,651413135.6455427,101762549.4548161,1738299822.677036
1.038125586987866,1188649236.486309,651413135.6455427,101762549.4548161,1738299822.677036
1.038125586987866,1151152415.146047,630863825.3728127,98552374.39315,1683463866.12571
1.038125586987866,1151152415.146047,630863825.3728127,98552374.39315,1683463866.12571
1.038125586987866,1147402733.012021,628808894.3455397,98231356.88698339,1677980270.470577
1.038125586987866,1147402733.012021,628808894.3455397,98231356.88698339,1677980270.470577
1.038125586987866,1072409090.331496,587710273.8000795,91811006.76365113,1568308357.367925
1.038125586987866,1072409090.331496,587710273.8000795,91811006.76365113,1568308357.367925
1.038125586987866,1057410361.795392,579490549.6909875,90526936.73898469,1546373974.747394
1.038125586987866,1027412904.723182,563051101.4728035,87958796.6896518,1502505209.506334
1.038125586987866,1019913540.45513,558941239.4182575,87316761.67731857,1491538018.196068
1.038125586987866,1006414684.772635,551543487.7200745,86161098.65511875,1471797073.837591
1.038125586987866,1006414684.772635,551543487.7200745,86161098.65511875,1471797073.837591
1.038125586987866,1006414684.772635,551543487.7200745,86161098.65511875,1471797073.837591
1.038125586987866,1006414684.772635,551543487.7200745,86161098.65511875,1471797073.837591
1.038125586987866,1006414684.772635,551543487.7200745,86161098.65511875,1471797073.837591
1.038125586987866,974917354.846815,534282067.0909814,83464551.60331923,1425734870.334477
1.038125586987866,877425619.3621335,480853860.3818833,75118096.44298731,1283161383.301029
1.038125586987866,869926255.094081,476743998.3273373,74476061.43065408,1272194191.990764
1.038125586987866,869926255.094081,476743998.3273373,74476061.43065408,1272194191.990764
1.038125586987866,869926255.094081,476743998.3273373,74476061.43065408,1272194191.990764
1.038125586987866,847428162.2899238,464414412.1636992,72549956.39365441,1239292618.059968
1.038125586987866,839928798.0218714,460304550.1091532,71907921.38132118,1228325426.749703
1.038125586987866,817430705.2177141,447974963.9455151,69981816.3443215,1195423852.818908
1.038125586987866,817430705.2177141,447974963.9455151,69981816.3443215,1195423852.818908
1.038125586987866,779933883.877452,427425653.6727851,66771641.28265538,1140587896.267582
1.038125586987866,772434519.6093996,423315791.6182391,66129606.27032215,1129620704.957316
1.038125586987866,730438079.708306,400300564.1127815,62534210.20125609,1068204433.619831
1.038125586987866,710939732.6113697,389614922.7709618,60864919.16918971,1039689736.213142
1.038125586987866,710939732.6113697,389614922.7709618,60864919.16918971,1039689736.213142
1.038125586987866,710939732.6113697,389614922.7709618,60864919.16918971,1039689736.213142
1.038125586987866,710939732.6113697,389614922.7709618,60864919.16918971,1039689736.213142
1.038125586987866,710939732.6113697,389614922.7709618,60864919.16918971,1039689736.213142
1.038125586987866,695566035.8618622,381189705.5591425,59548747.3939066,1017206994.027098
1.038125586987866,695566035.8618622,381189705.5591425,59548747.3939066,1017206994.027098
1.038125586987866,695566035.8618622,381189705.5591425,59548747.3939066,1017206994.027098
1.038125586987866,695566035.8618622,381189705.5591425,59548747.3939066,1017206994.027098
1.038125586987866,689941512.6608229,378107309.018233,59067221.13465668,1008981600.544399
1.038125586987866,674942784.1247182,369887584.909141,57783151.10999023,987047217.9238689
1.038125586987866,656194373.454587,359612929.7727759,56178063.57915717,959629239.6482058
.1713065498917629,655069468.8143791,358996450.464594,56081758.32730719,957984160.9516659
.1708272426465067,655819405.2411845,359407436.6700487,56145961.8285405,959080880.0826926
.1737317236182778,651319786.6803529,356941519.437321,55760740.82114057,952500565.2965333
.172755887572761,652819659.5339633,357763491.8482302,55889147.82360721,954694003.5585864
.1722708626360401,653569595.9607686,358174478.0536848,55953351.32484054,955790722.6896129
.1732428379426255,652069723.1071582,357352505.6427757,55824944.32237389,953597284.42756
.1717877533252984,654319532.387574,358585464.2591394,56017554.82607387,956887441.8206395
.175210092127445,649069977.3999372,355708560.8209572,55568130.31744061,949210407.9034537
.1757068189862733,648320040.973132,355297574.6155027,55503926.81620727,948113688.7724273
.1747153406840319,649819913.8267425,356119547.0264118,55632333.81867392,950307127.0344805
.1762055314463011,647570104.5463266,354886588.410048,55439723.31497396,947016969.6414007
.1767062397595911,646820168.1195215,354475602.2045934,55375519.81374064,945920250.5103743
.1742225545344269,650569850.2535478,356530533.2318664,55696537.31990725,951403846.165507
.1797529847930542,642320549.5586901,352009684.9718658,54990298.8063407,939339935.7242153
.1792400824405333,643070485.9854953,352420671.1773204,55054502.30757403,940436654.8552418
.1787292388212902,643820422.4123005,352831657.382775,55118705.80880734,941533373.9862682
.1782204432908395,644570358.8391057,353242643.5882297,55182909.31004068,942630093.1172948
.1772089542394605,646070231.6927164,354064615.9991388,55311316.31250731,944823531.3793478
.1777136852678639,645320295.2659109,353653629.7936842,55247112.81127399,943726812.2483211
.1802679565965528,641570613.1318847,351598698.7664112,54926095.30510738,938243216.5931885
.1818253968837464,639320803.851469,350365740.1500474,54733484.80140742,934953059.200109
.1807850086323429,640820676.7050796,351187712.5609567,54861891.80387406,937146497.4621621
.1823487550120517,638570867.4246639,349954753.9445928,54669281.30017409,933856340.0690826
.1813041517544601,640070740.2782742,350776726.3555021,54797688.30264074,936049778.3311355
.1849976303145872,634821185.2906376,347899822.9173198,54348263.79400748,928372744.41395
.1828742372024222,637820930.9978585,349543767.7391382,54605077.79894077,932759620.938056
.1834018545860011,637070994.5710533,349132781.5336837,54540874.29770745,931662901.8070295
.1839316183696819,636321058.1442481,348721795.3282291,54476670.79647412,930566182.6760031
.1844635398282204,635571121.7174429,348310809.1227744,54412467.2952408,929469463.5449765
.1855339012476671,634071248.8638322,347488836.7118651,54284060.29277415,927276025.2829232
.1882483676313528,630321566.7298062,345433905.6845921,53963042.78660754,921792429.6277907
.1877010205133357,631071503.1566114,345844891.8900468,54027246.28784087,922889148.7588174
.1871559120755205,631821439.5834166,346255878.0955014,54091449.78907418,923985867.8898437
.1866130305203437,632571376.0102218,346666864.300956,54155653.29030751,925082587.0208703
.186072364126273,633321312.4370271,347077850.5064105,54219856.79154083,926179306.1518968
.1904603815392269,627321821.0225852,343789960.8627738,53706228.78167426,917405553.1036847
.1893498254792975,628821693.8761957,344611933.273683,53834635.78414089,919598991.3657378
.1910191017175307,626571884.59578,343378974.6573191,53642025.28044093,916308833.9726582
.1899039601885006,628071757.4493904,344200947.0682284,53770432.28290758,918502272.2347112
.1887979653025334,629571630.3030008,345022919.4791375,53898839.28537422,920695710.4967642
.1915801329889724,625821948.1689746,342967988.4518645,53577821.77920761,915212114.8416317
.1938476171524359,622822202.4617538,341324043.6300462,53321007.77427432,910825238.3175257
.1932772172316722,623572138.888559,341735029.8355008,53385211.27550764,911921957.4485521
.1927091782782681,624322075.3153642,342146016.0409554,53449414.77674096,913018676.5795786
.1921434877007773,625072011.7421695,342557002.24641,53513618.27797429,914115395.7106051
.1949955506680892,621322329.6081432,340502071.219137,53192600.77180768,908631800.0554726
.1955731098619912,620572393.1813381,340091085.0136824,53128397.27057435,907535080.9244461
.1961530812204799,619822456.7545327,339680098.8082278,53064193.76934103,906438361.7934194
.1944203907116759,622072266.0349483,340913057.4245915,53256804.273041,909728519.1864989
.1967354777531165,619072520.3277276,339269112.6027732,52999990.2681077,905341642.6623931
.1973203125581463,618322583.9009222,338858126.3973185,52935786.76687438,904244923.5313663
.1979075988200334,617572647.474117,338447140.191864,52871583.26564106,903148204.40034
.1990895788838027,616072774.6205065,337625167.7809548,52743176.26317441,900954766.1382868
.2002815251797792,614572901.7668959,336803195.3700455,52614769.26070777,898761327.8762337
.1996842994955445,615322838.1937014,337214181.5755002,52678972.7619411,899858047.0072606
.1984973498086869,616822711.0473118,338036153.9864094,52807379.76440773,902051485.2693133
.2008812695653998,613822965.3400908,336392209.164591,52550565.75947445,897664608.7452073
.2014835463706642,613073028.9132856,335981222.9591364,52486362.25824112,896567889.6141808
.203305709876639,610823219.6328698,334748264.3427725,52293751.75454116,893277732.2211013
.202695752577185,611573156.0596751,335159250.5482272,52357955.25577448,894374451.3521278
.2020883694073497,612323092.4864802,335570236.7536818,52422158.7570078,895471170.4831543
.2039182553962871,610073283.2060646,334337278.137318,52229548.25330783,892181013.0900748
.2057715635909726,607823473.9256489,333104319.5209542,52036937.74960787,888890855.6969953
.2051511679245142,608573410.3524542,333515305.7264088,52101141.25084119,889987574.8280218
.2045334033184398,609323346.7792593,333926291.9318634,52165344.75207451,891084293.9590482
.2082797477703009,604823728.218428,331460374.6991358,51780123.74467458,884503979.1728892
.20702030608891,606323601.0720383,332282347.110045,51908530.74714123,886697417.434942
.2089135177873374,604073791.7916226,331049388.4936812,51715920.24344126,883407260.0418625
.2063946047879844,607073537.4988436,332693333.3154995,51972734.24837454,887794136.5659685
.2076486821599482,605573664.6452332,331871360.9045904,51844327.24590791,885600698.3039157
.2101892310187698,602573918.9380121,330227416.082772,51587513.24097461,881213821.7798095
.2114759428270597,601074046.0844017,329405443.6718627,51459106.23850797,879020383.5177565
